"id","name","followers","user_id","website"
1,"TOOL",3056736,8,"https://toolband.com/"
2,"Radiohead",7984477,11,"https://www.radiohead.com/"
3,"The Mars Volta",603381,12,"https://www.themarsvoltaofficial.com/"
4,"Deadmau5",2788732,7,"https://deadmau5.com/"
5,"Led Zeppelin",17727943,13,"https://merch.ledzeppelin.com/"
6,"Post Malone",51948432,14,"https://www.postmalone.com/"
7,"MGMT",2741254,10,"https://whoismgmt.com/"
8,"Polyphia",863823,9,"https://www.polyphia.com/"
9,"Ryuichi Sakamoto",656627,15,NULL
10,"NERO",821893,16,NULL
